Song ID,pop,rap,dance-pop,post-teen-pop,pop-rap,trap,reggaeton,trap-latino,latin,hip-hop,melodic-rap,canadian-pop,electropop,pop-dance,atl-hip-hop
5YaskwnGDZFDRipaqzbwQx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6SRsiMl7w1USE4mFqrOhHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37BZB0z9T8Xu7U3e65qxFy,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3FAJ6O0NOHQV8Mc5Ri6ENp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7njGslFmqBmOSSOpTyZCs9,,,,,,,,,,,,,,,
3ggtU1ZOKO8ZNiqPNyXGcm,,,,,,,,,,,,,,,
2QjOHCTQ1Jl3zawyYOpxh6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HzqWEdAbzcVFDv0pvxV4w,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7qEHsqek33rTcFNT9PFqLf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3yaYgjEFkRw3PVjW9mV1TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4XvcHTUfIlWfyJTRG0aqlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2FSGUA0gFgGeQdprjtGM2M,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6PDlkWmrq2ZKiUuFt2aQsH,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
6OufwUcCqo81guU2jAlDVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776AftMmFFAWUIEAb3lHhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6tDDoYIxWvMLTdKpjFkc1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2MnLkFqY9Rpg9s3Zv6ZJdK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Bk0uXKk1uPT0XuQbpFzvs,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2XU0oxnq2qxCpomAAuJY8K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27OeeYzk6klgBh83TSvGMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65OVbaJR5O1RmwOQx0875b,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0Kdj7nwaYQmvhxnqZaIQuW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2sN1pMv6d2t5GlvN6IBMlK,,,,,,,,,,,,,,,
5uEYRdEIh9Bo4fpjDd4Na9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6cx06DFPPHchuUAcTxznu9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0siYMEsGrzzzlWLXK5zJfS,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7MC4XR9M9amdmKQr2iDF7i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3zs87EV3EZSh2UpiXxT52Y,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
